size,cdf_capacity
4096,0.000313383
8192,0.000442966
12288,0.000633372
16384,0.000815998
20480,0.001024801
24576,0.001231022
28672,0.001424559
32768,0.001603007
36864,0.001752489
40960,0.001895877
45056,0.002029629
49152,0.002167372
53248,0.00228249
57344,0.002393856
61440,0.00251492
65536,0.002622139
69632,0.002722905
73728,0.002820505
77824,0.002916338
81920,0.003016707
86016,0.00311508
90112,0.003208744
94208,0.003307686
98304,0.003406314
102400,0.00349605
106496,0.003634554
110592,0.003712691
114688,0.003791354
118784,0.003872336
122880,0.003950087
126976,0.004027938
131072,0.004108031
135168,0.004234086
139264,0.004313434
143360,0.004390233
147456,0.004471357
151552,0.004545896
155648,0.004615622
159744,0.004685204
163840,0.004752342
167936,0.004816738
172032,0.004882084
176128,0.004944622
180224,0.005009731
184320,0.005089257
188416,0.005161896
192512,0.005237802
196608,0.005311468
200704,0.00538149
204800,0.005445753
208896,0.005508283
212992,0.005566103
217088,0.005629965
221184,0.00569252
225280,0.005750653
229376,0.00580783
233472,0.005866511
237568,0.005928673
241664,0.005984922
245760,0.006044662
249856,0.006105784
253952,0.006166204
258048,0.006229596
262144,0.006291424
266240,0.00635944
270336,0.006419991
274432,0.006478485
278528,0.006537422
282624,0.006594307
286720,0.006657049
290816,0.006715733
294912,0.006771135
299008,0.006828695
303104,0.006891424
307200,0.006954207
311296,0.007012044
315392,0.007069991
319488,0.007126382
323584,0.007182327
327680,0.007238135
331776,0.00730166
335872,0.00736545
339968,0.007423877
344064,0.007483362
348160,0.007543736
352256,0.007601729
356352,0.007666282
360448,0.00772302
364544,0.007786987
368640,0.007848059
372736,0.007910963
376832,0.007974947
380928,0.008035105
385024,0.008097698
401933,0.008359274
422030,0.008674442
443131,0.0090136
465288,0.009360592
488552,0.009722916
512980,0.010110769
538629,0.010484101
565560,0.010657771
593838,0.010813768
623530,0.010956325
654707,0.011133718
687442,0.011309692
721814,0.011498934
757905,0.01168121
795800,0.011878761
835590,0.012069802
877370,0.012262244
921238,0.012467161
967300,0.012715772
1015665,0.013012458
1066448,0.013500102
1119771,0.013808127
1175759,0.014082401
1234547,0.01433917
1296275,0.014584693
1361089,0.014838981
1429143,0.015091968
1500600,0.015376192
1575630,0.015620144
1654412,0.015883979
1737132,0.016142178
1823989,0.016428349
1915188,0.016712025
2010948,0.01700262
2111495,0.01813812
2217070,0.018365819
2327924,0.018626529
2444320,0.018852338
2566536,0.019073542
2694863,0.019332232
2829606,0.019644745
2971086,0.019980552
3119641,0.020352469
3275623,0.020721005
3439404,0.021147018
3611374,0.021594333
3791943,0.022015088
3981540,0.022500033
4180617,0.023004911
4389648,0.023693615
4609130,0.024197909
4839587,0.024702442
5081566,0.025234823
5335644,0.025818607
5602427,0.026223401
5882548,0.026712189
6176675,0.027123408
6485509,0.02758866
6809785,0.028017429
7150274,0.028449184
7507788,0.028949024
7883177,0.029604047
8277336,0.030214928
8691203,0.030793555
9125763,0.031547116
9582051,0.03233341
10061154,0.033159019
10564211,0.034145855
11092422,0.03537095
11647043,0.036549101
12229395,0.038057556
12840865,0.03948901
13482908,0.041277333
14157054,0.043228137
14864906,0.045146062
15608152,0.046990722
16388559,0.048969905
17207987,0.05069281
18068387,0.052595109
18971806,0.055082087
19920396,0.057847625
20916416,0.060805414
21962237,0.064149119
23060349,0.067695714
24213366,0.07206945
25424035,0.077094873
26695236,0.084066172
28029998,0.092861581
29431498,0.102036003
30903073,0.109787174
32448227,0.117038347
34070638,0.124458658
35774170,0.130883733
37562879,0.138696292
39441023,0.147896889
41413074,0.158861273
43483728,0.169678182
45657914,0.178161153
47940810,0.185732204
50337850,0.191837292
52854743,0.198765918
55497480,0.20598369
58272354,0.213201463
61185972,0.220685391
64245270,0.227681443
67457534,0.234017677
70830411,0.239976175
74371931,0.243891236
78090528,0.247719937
81995054,0.251697755
86094807,0.255652298
90399547,0.259571295
94919525,0.263686242
99665501,0.267389694
104648776,0.271062284
109881215,0.274124577
115375275,0.27704226
121144039,0.281856439
127201241,0.286320495
133561303,0.290800963
140239368,0.295650208
147251337,0.300285942
154613904,0.303158577
162344599,0.307599192
170461829,0.31111817
178984920,0.314166484
187934167,0.318434125
197330875,0.322202257
207197419,0.325944929
217557290,0.330548416
228435154,0.335382077
239856912,0.339590899
251849757,0.34492001
264442245,0.351197963
277664358,0.358506319
291547576,0.363772635
306124954,0.370092213
321431202,0.378718438
337502762,0.386382507
354377900,0.39589292
372096795,0.404342556
390701635,0.412408118
410236717,0.424052772
430748553,0.435835046
452285980,0.444938519
474900280,0.454987353
498645294,0.4696562
523577558,0.485328705
549756436,0.499231297
577244258,0.507870766
606106471,0.519131866
636411795,0.529313777
668232384,0.539659913
701644004,0.555955076
736726204,0.573825439
773562514,0.585802385
812240640,0.597958984
852852672,0.610283261
895495305,0.632929119
940270071,0.651369318
987283574,0.668183868
1036647753,0.690654221
1088480140,0.708068745
1142904148,0.718685987
1200049355,0.727356734
1260051823,0.739712549
1323054414,0.748589227
1389207135,0.755758852
1458667491,0.768556631
1531600866,0.779622946
1608180909,0.794562472
1688589955,0.807634556
1773019453,0.824105383
1861670425,0.833713366
1954753946,0.850863614
2052491644,0.868871375
2155116226,0.877769327
2262872037,0.884776465
2376015639,0.89090771
2494816421,0.902495764
2619557242,0.910607401
2750535104,0.923383231
2888061860,0.926364257
3032464953,0.93888457
3184088200,0.942171152
3343292610,0.949072974
3510457241,0.954508159
3685980103,0.958312789
3870279108,0.964305081
4063793064,0.972694289
4266982717,0.974896456
4480331853,0.981833282
4704348445,0.986689061
4939565868,0.989238345
5186544161,0.999945336
