size,cdf_frequency
4096,0.474367987
8192,0.55218017
12288,0.610829353
16384,0.651024218
20480,0.679571544
24576,0.706128845
28672,0.726424595
32768,0.742044183
36864,0.753042476
40960,0.76245195
45056,0.774434397
49152,0.781869847
53248,0.78903897
57344,0.794608985
61440,0.799796082
65536,0.805028902
69632,0.809457024
73728,0.835009596
77824,0.839313127
81920,0.842802816
86016,0.846178202
90112,0.84947929
94208,0.852347168
98304,0.85558196
102400,0.858142361
106496,0.861973818
110592,0.863871258
114688,0.86627049
118784,0.868051341
122880,0.870050511
126976,0.871600468
131072,0.873203004
135168,0.875450213
139264,0.87696245
143360,0.87838553
147456,0.879832614
151552,0.88124312
155648,0.882468455
159744,0.883602347
163840,0.884937413
167936,0.885920424
172032,0.889568995
176128,0.890512
180224,0.89149844
184320,0.892543175
188416,0.893553619
192512,0.894658935
196608,0.895629373
200704,0.896515226
204800,0.897323352
208896,0.898048037
212992,0.89875672
217088,0.899512267
221184,0.900299818
225280,0.901021074
229376,0.90165203
233472,0.902278414
237568,0.904162137
241664,0.904734799
245760,0.905332606
249856,0.905924699
253952,0.906591089
258048,0.907259765
262144,0.907867861
266240,0.908530821
270336,0.909108055
274432,0.909648711
278528,0.916830407
282624,0.917563093
286720,0.918110607
290816,0.918627259
294912,0.919141626
299008,0.919641132
303104,0.92014864
307200,0.920799028
311296,0.921307679
315392,0.921758035
319488,0.922198104
323584,0.922672464
327680,0.92318683
331776,0.923650903
335872,0.924206419
339968,0.924630485
344064,0.925304876
348160,0.925709511
352256,0.92611186
356352,0.926563359
360448,0.926953134
364544,0.927404634
368640,0.928103029
372736,0.928522523
376832,0.928966021
380928,0.929380943
385024,0.929803866
401933,0.93176303
422030,0.933747341
443131,0.93611114
465288,0.938033726
488552,0.940050042
512980,0.942133797
538629,0.944100962
565560,0.944870225
593838,0.948006717
623530,0.948699396
654707,0.949612682
687442,0.950264213
721814,0.950922602
757905,0.951512408
795800,0.952109073
835590,0.952676019
877370,0.953206388
921238,0.953728755
967300,0.95436314
1015665,0.955062678
1066448,0.956111986
1119771,0.956768088
1175759,0.957307601
1234547,0.957835684
1296275,0.958353479
1361089,0.958875847
1429143,0.95929877
1500600,0.959766272
1575630,0.960150332
1654412,0.96052982
1737132,0.960910451
1823989,0.961347091
1915188,0.961800876
2010948,0.962172363
2111495,0.963430846
2217070,0.963681171
2327924,0.964006936
2444320,0.964269834
2566536,0.964613888
2694863,0.964860784
2829606,0.965162545
2971086,0.965446018
3119641,0.965743208
3275623,0.966043826
3439404,0.966358161
3611374,0.966669067
3791943,0.966933108
3981540,0.967255445
4180617,0.967604071
4389648,0.968010991
4609130,0.968283034
4839587,0.968557363
5081566,0.96887627
5335644,0.969147169
5602427,0.969320911
5882548,0.969524371
6176675,0.969710686
6485509,0.96990043
6809785,0.970329069
7150274,0.970479949
7507788,0.970650262
7883177,0.970856008
8277336,0.971049181
8691203,0.971235496
9125763,0.971445815
9582051,0.971672136
10061154,0.971900743
